content,Label Asli,Prediksi
Oke,Positif,Positif
Pelayanan sangat baik,Positif,Positif
Good,Positif,Positif
Gojek always the best lah ,Positif,Positif
Ok,Positif,Positif
Mantap,Positif,Positif
Senang memakainya lancar,Positif,Positif
Sangat membantu,Positif,Positif
Lemot,Negatif,Negatif
Makin kesini abang2 gosend makin lama gak sesuai jadwal pickup dan delivery sampai saya sudh beberapa kali cancel tolong lebih disiplin lagi dan tingkatkan kinerjanya kami jg butuh barang2 yg kita kirim segera ini malah abang2nya suka nyepelein,Negatif,Negatif
Gojek tolong buatkan versi PELAJAR dong Menurut saya ini cukup membantu dikalangan siswa sekolah,Positif,Positif
Agak mendingan sekarang dptny gk terlalu jauh dgn lokasi thanks GOJEK atas peningkatan layanannya smga smkin baik kedpannya,Positif,Positif
Suka sekali,Positif,Positif
Coba dulu,Positif,Positif
Mahal sering ngelek,Negatif,Negatif
mantab,Positif,Positif
Gofood sekarang lebih mahal drpd apk SF,Negatif,Negatif
Mantap,Positif,Positif
Luar biasa,Positif,Positif
Ok,Positif,Positif
Baguuus,Positif,Positif
Bermasalah,Negatif,Negatif
Good,Positif,Positif
gojek nya gamau narik pas gerimis padahal udah pakai gocar gojek  ,Negatif,Negatif
Pelayanan prima,Positif,Positif
Aplikasi aneh uangnya ga kembali,Netral,Negatif
Mantap,Positif,Positif
Gojek sudah mulai rakus sama kantong sendiriDulu lebih milih gojek daripada di ijo yg satunya karna biaya cs lebih muraheh sekarang malah mulai balapan biaya cs nya sama si ijo yg lainSemakin kecewa si sama gojek yang sekarang,Negatif,Negatif
Okey,Positif,Positif
Top susah komennya,Positif,Positif
Cepat datangnya,Positif,Positif
Ngebantu bangett,Positif,Positif
Tolong di bantu kk saya mau masuk pake no baru kenapa ga bisa udh di kasih kode trus masukan no yg baru juga ga bisa kenapa Sedangkan no ku yg dlu hilang yg ke daftar ke gojek mksih,Negatif,Negatif
Sangat membantu,Positif,Positif
Nih atas pelayanan lu,Negatif,Positif
Keren,Positif,Positif
Bagus sih,Positif,Positif
Good ,Positif,Positif
Ok,Positif,Positif
lemah kg bisa kirim ke ewalet lain g guna ajing,Negatif,Negatif
Mantap dan bagusss,Positif,Positif
God gopay,Positif,Positif
Ok,Positif,Positif
Mantap,Positif,Positif
nice,Positif,Positif
Baru nyoba,Positif,Negatif
Makin memburukdapet drivernya yg jauh bgtkasian org jemputnya kejauhan Pdhal lokasi saya bnyak driver online,Negatif,Negatif
Lelet asu,Negatif,Negatif
Good jobs,Positif,Positif
Mantap Tepat waktu,Positif,Positif
Banyakin promo nya dong kalau bisa d tiap minggu jgn hanya tiap bulan aja sama utk biaya goshop nya buat diskon ongkir nya dong karena kemahalan mana sdh kena biaya penanganan,Positif,Negatif
drivernya sopan dan tepat waktu mantap ,Positif,Positif
Saya download versi terbaru saat mau byr gopaylater tidak bisa Sdh buat laporan dr tagl 25november sampe tgl 4desember tidak ad solusi robot yg selalu membalas Skrg sdh telat 4 hr sy tidak bs membayar Saldo gopay saya byksya tdk prnh telat byr Bentar lagi ad sdh kena denda,Negatif,Negatif
Kangen aplikasi gojek versi lama yg simple dan cepat ,Netral,Positif
